transaction_id,user_id,transaction_date,product_category,merchant_name,product_amount,transaction_status,merchant_id,transaction_type
511e8247-7321-470a-8a1f-b2d822ad9628,USER_001,1/8/23 10:20,Wallet Top-up,Public Bank Top-up,103.9,Failed,TOPUP,topup
bcb41489-a003-4e2b-98ae-7644fd300b89,USER_001,1/8/23 11:44,Parking,JPA Parking,3.04,Successful,MERCH_PRK_4923,payment
82b5c949-9dd0-4142-849c-fb49b4eafb46,USER_001,1/8/23 23:12,Wallet Top-up,Maybank2u Top-up,246.38,Successful,TOPUP,topup
2228be99-1a70-4c93-9fb3-bd0fc663b554,USER_001,2/8/23 16:25,Wallet Top-up,Debit Card Reload,253.17,Successful,TOPUP,topup
0b49e67f-f5a1-4e8b-a280-f54f191da2f1,USER_001,3/8/23 12:58,Online Shopping,PG Mall,147.23,Successful,MERCH_OSP_3705,payment
60fb88d4-5253-436a-8711-3962ff201a5f,USER_001,4/8/23 6:47,Food Delivery,Foodpanda,70.91,Successful,MERCH_FDL_9835,payment
fdf56182-95d5-4400-a75a-8072452b183d,USER_001,4/8/23 23:05,Taxi / Ride-hailing,AirAsia Ride,30.78,Successful,MERCH_RDH_7118,payment
b30ea033-23e2-4f97-b41e-23910eb0492e,USER_001,4/8/23 23:48,Public Transport,MRT Putrajaya Line,4.04,Successful,MERCH_TRNS_2049,payment
51cb23ac-45f5-4b31-9d91-3df09966c0fa,USER_001,5/8/23 11:50,Food & Beverage,Tealive,10.32,Successful,MERCH_FNB_1117,payment
6a02be42-e814-4f71-8233-2d83240158fe,USER_001,5/8/23 13:47,Food & Beverage,McDonald's Malaysia,10.31,Successful,MERCH_FNB_6413,payment
66688f08-6e8a-41d8-a4ad-d5049dea8764,USER_001,5/8/23 22:31,Streaming Service,Disney+ Hotstar,18.47,Successful,MERCH_STR_9834,payment
c46eb84d-c656-4ad3-b472-5c82880bd763,USER_001,6/8/23 20:24,Petrol,Caltex Malaysia,100.62,Successful,MERCH_PTR_4981,payment
e0349acb-2521-4e46-b028-26cf223b7e97,USER_001,6/8/23 22:58,Food & Beverage,KFC Malaysia,31.57,Successful,MERCH_FNB_8062,payment
377ea65c-b822-468f-87a8-1c8913c90794,USER_001,6/8/23 23:46,Education,Coursera,42.4,Successful,MERCH_EDU_2612,payment
8b7c45c2-343a-4b11-af70-39405a2d46d4,USER_001,7/8/23 13:32,Gaming Credits,Mobile Legends Diamonds,23.2,Successful,MERCH_GAM_5073,payment
f965d683-751c-4ada-96c4-9c681f73627e,USER_001,8/8/23 9:24,Food & Beverage,Marrybrown,39.7,Successful,MERCH_FNB_5563,payment
